order	process	module	executable	inputs	outputs	emit	publish_dir	software	role
1	VALIDATE_SAMPLESHEET	modules/local/validate_samplesheet/main.nf	bin/validate_samplesheet.py	Raw samplesheet CSV	samplesheet.validated.csv	validated	${params.outdir}/pipeline_info/	Python 3 standard library	Intermediate input contract
2	RAW_FASTQ_STATS	modules/local/raw_fastq_stats/main.nf	bin/raw_fastq_stats.py	Paired-end FASTQ files: R1 and R2	${meta.id}.raw_fastq_stats.tsv	stats	${params.outdir}/raw_qc/fastq_stats/	Python 3 standard library	Descriptive QC
3	PAIR_AUDIT	modules/local/pair_audit/main.nf	bin/pair_audit.py	Paired-end FASTQ files: R1 and R2	${meta.id}.pair_audit.tsv	audit	${params.outdir}/raw_qc/pair_audit/	Python 3 standard library	Paired-read integrity gate
4	ORGANELLE_FILTER	modules/local/organelle_filter/main.nf	Inline Bash	Paired-end FASTQ files and organelle reference FASTA	${meta.id}_R1.organelle_filtered.fastq.gz; ${meta.id}_R2.organelle_filtered.fastq.gz; ${meta.id}.organelle_filter_report.tsv	reads; report	${params.outdir}/organelle_filter/fastq/; ${params.outdir}/organelle_filter/reports/	Bash; minimap2; samtools; gzip; zcat; awk; cp	Organelle depletion and QC
5	CHOOSE_TARGET_LENGTH	modules/local/choose_target_length/main.nf	bin/choose_target_length.py	Paired-end FASTQ files and target-read-length metadata	${sample_id}.target_length.tsv	target_length	${params.outdir}/length_normalization/target_length/	Python 3 standard library	Read-length planning
6	CROP_FIXED_LENGTH	modules/local/crop_fixed_length/main.nf	bin/crop_pairs_to_length.py	Paired-end FASTQ files and target-length TSV	${meta.id}_R1.fixed.fastq.gz; ${meta.id}_R2.fixed.fastq.gz; ${meta.id}.crop_report.tsv	reads; report	${params.outdir}/length_normalization/cropped_reads/; ${params.outdir}/length_normalization/reports/	Python 3 standard library	Fixed-length transformation and QC
7	PLAN_COVERAGE	modules/local/plan_coverage/main.nf	bin/plan_coverage.py	Fixed-length paired FASTQ files, target-length TSV, genome size and target coverage	${sample_id}.coverage_plan.tsv	plan	${params.outdir}/coverage_sampling/plans/	Python 3 standard library	Coverage-based sampling plan
8	SAMPLE_PAIRS	modules/local/sample_pairs/main.nf	bin/sample_pairs.py	Fixed-length paired FASTQ files and coverage-plan TSV	${meta.id}_R1.sampled.fastq.gz; ${meta.id}_R2.sampled.fastq.gz; ${meta.id}.sampling_report.tsv	reads; report	${params.outdir}/coverage_sampling/sampled_reads/; ${params.outdir}/coverage_sampling/reports/	Python 3 standard library	Reproducible subsampling and QC
9	RENAME_FASTQ_TO_FASTA	modules/local/rename_convert_fasta/main.nf	bin/rename_fastq_to_fasta.py	Subsampled paired-end FASTQ files	${meta.id}.repex.fasta; ${meta.id}.repex_format_report.tsv	fasta; report	${params.outdir}/repex/fasta/; ${params.outdir}/repex/reports/	Python 3 standard library	Final-data generation and formatting QC
10	VALIDATE_REPEX_FASTA	modules/local/validate_repex_fasta/main.nf	bin/validate_repex_fasta.py	RepeatExplorer-compatible FASTA	${meta.id}.repex_validation.tsv	report	${params.outdir}/repex/validation/	Python 3 standard library	Final structural QC gate

# The order section represents the inventary order, it does not have anything to do with the execution order. 
